"id","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG_percent","3P","3PA","3P_percent","2P","2PA","2P_percent","eFG_percent","FT","FTA","FT_percent","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"236","Deni Avdija","SF","22","WAS","76","40","26.6","3.3","7.6","0.437","0.9","3.1","0.297","2.4","4.6","0.53","0.497","1.6","2.2","0.739","1","5.4","6.4","2.8","0.9","0.4","1.6","2.8","9.2"
"237","Deandre Ayton","C","24","PHO","67","67","30.4","7.8","13.2","0.589","0.1","0.4","0.292","7.7","12.9","0.597","0.592","2.3","3","0.76","2.6","7.4","10","1.7","0.6","0.8","1.8","2.8","18"
"238","Udoka Azubuike","C","23","UTA","36","4","10","1.6","2","0.819","0","0","0","1.6","2","0.819","0.819","0.2","0.6","0.35","0.9","2.4","3.3","0.3","0.2","0.4","0.5","0.9","3.5"
"239","Marvin Bagley III","C","23","DET","42","25","23.6","4.8","9.1","0.529","0.5","1.6","0.288","4.4","7.5","0.579","0.554","1.9","2.6","0.75","2.2","4.2","6.4","0.9","0.5","0.7","1.1","1.9","12"
"240","Patrick Baldwin Jr.","SF","20","GSW","31","0","7.3","1.4","3.5","0.394","1","2.7","0.381","0.4","0.8","0.44","0.541","0.1","0.2","0.667","0","1.3","1.3","0.4","0.2","0.1","0.4","0.5","3.9"
"241","LaMelo Ball","PG","21","CHO","36","36","35.2","8.2","20","0.411","4","10.6","0.376","4.2","9.4","0.45","0.51","2.8","3.4","0.836","1.2","5.3","6.4","8.4","1.3","0.3","3.6","3.3","23.3"
"242","Mo Bamba","C","24","TOT","49","7","15.7","2.4","4.9","0.485","1","2.5","0.387","1.4","2.4","0.59","0.585","0.8","1.3","0.661","1.2","3.4","4.6","0.9","0.3","0.9","0.6","2.1","6.6"
"243","Mo Bamba","C","24","ORL","40","6","17","2.7","5.4","0.495","1.1","2.7","0.398","1.6","2.7","0.594","0.596","0.9","1.3","0.686","1.2","3.4","4.6","1.1","0.3","1","0.6","2.2","7.3"
"244","Mo Bamba","C","24","LAL","9","1","9.8","1.2","3","0.407","0.6","1.8","0.313","0.7","1.2","0.545","0.5","0.7","1.2","0.545","1.2","3.3","4.6","0.4","0.1","0.6","0.9","2.1","3.7"
"245","Paolo Banchero","PF","20","ORL","72","72","33.8","6.7","15.6","0.427","1.2","4","0.298","5.5","11.6","0.471","0.465","5.5","7.4","0.738","1.2","5.7","6.9","3.7","0.8","0.5","2.8","2.2","20"
"246","Desmond Bane","SG","24","MEM","58","58","31.7","7.8","16.2","0.479","2.9","7","0.408","4.9","9.2","0.534","0.568","3.1","3.5","0.883","0.7","4.3","5","4.4","1","0.4","2.2","2.6","21.5"
"247","Dalano Banton","PG","23","TOR","31","2","9","1.8","4.2","0.423","0.5","1.6","0.294","1.3","2.5","0.506","0.481","0.5","0.8","0.708","0.4","1.1","1.5","1.2","0.4","0.4","0.6","1.1","4.6"
"248","Dominick Barlow","SF","19","SAS","28","0","14.6","1.6","3.1","0.535","0","0.1","0","1.6","2.9","0.561","0.535","0.6","0.9","0.72","1.6","2","3.6","0.9","0.4","0.7","0.5","2","3.9"
"249","Harrison Barnes","PF","30","SAC","82","82","32.5","4.6","9.6","0.473","1.6","4.3","0.374","3","5.3","0.553","0.556","4.3","5","0.847","1.1","3.4","4.5","1.6","0.7","0.1","1","1.3","15"
"250","Scottie Barnes","PF","21","TOR","77","76","34.8","6","13.2","0.456","0.8","2.9","0.281","5.2","10.3","0.505","0.487","2.5","3.2","0.772","2.3","4.3","6.6","4.8","1.1","0.8","2","2.2","15.3"
"251","RJ Barrett","SG","22","NYK","73","73","33.9","7","16.1","0.434","1.7","5.3","0.31","5.3","10.8","0.495","0.485","4","5.4","0.74","0.8","4.2","5","2.8","0.4","0.2","2.2","2.5","19.6"
"252","Will Barton","SG","32","TOT","56","2","17.7","2.5","6.5","0.379","1.2","3.2","0.367","1.3","3.3","0.391","0.47","0.7","0.8","0.787","0.3","2.2","2.4","2","0.5","0.2","0.9","1","6.8"
"253","Will Barton","SG","32","WAS","40","0","19.6","2.8","7.1","0.386","1.3","3.5","0.377","1.5","3.7","0.395","0.477","0.9","1.1","0.778","0.3","2.5","2.8","2.4","0.4","0.3","1.1","1","7.7"
"254","Will Barton","SG","32","TOR","16","2","13.2","1.8","4.9","0.354","0.9","2.6","0.333","0.9","2.3","0.378","0.443","0.1","0.1","1","0.3","1.3","1.6","1.1","0.7","0.2","0.2","1.1","4.5"
